,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
2026-06-02,06:53:49.428,    8.61,    7.34,    8.57,    7.50,    8.74,    7.72,    8.97,    7.51,    9.03,    7.54,    9.03,    7.58,   52.95,   45.20,     18940,   98.15,    5.09,    8.88,    5.09,    9.11,    5.12,    9.21,    4.35,    8.44,    4.74,    8.74,    4.19,    8.37,   28.58,   52.75,     19200,   81.33,     81.53,     97.95,    179.48
2026-06-02,06:53:49.476,   39.82,   14.67,   40.49,   14.91,   40.55,   14.78,   35.29,   13.52,   35.39,   13.56,   35.49,   13.21,  227.03,   84.64,     18280,  311.67,    9.68,   12.66,    9.78,   12.72,    9.95,   12.98,    8.44,   11.73,    8.66,   12.24,    8.20,   11.52,   54.71,   73.85,     18060,  128.56,    281.74,    158.49,    440.24
2026-06-02,06:53:49.526,   54.82,   23.78,   55.14,   23.83,   54.94,   23.84,   52.55,   23.35,   52.14,   23.03,   52.36,   23.11,  321.96,  140.95,     18820,  462.90,    9.66,   16.17,    9.70,   16.38,    9.84,   16.40,    7.84,   15.04,    8.14,   15.37,    7.61,   14.77,   52.79,   94.13,     18780,  146.92,    374.75,    235.07,    609.82
2026-06-02,06:53:49.576,   15.66,   13.32,   15.55,   13.46,   16.02,   13.73,   14.14,   12.97,   14.17,   12.93,   13.70,   12.65,   89.24,   79.06,     18740,  168.30,    8.48,   16.21,    8.58,   16.35,    8.65,   16.01,    7.06,   15.38,    7.15,   15.42,    6.90,   15.18,   46.82,   94.55,     18760,  141.37,    136.07,    173.60,    309.67
2026-06-02,06:53:49.627,   14.92,   10.52,   14.77,   10.18,   14.94,   10.41,   14.42,   10.66,   14.39,   10.66,   14.26,   10.60,   87.69,   63.04,     18740,  150.73,    5.93,    8.73,    6.38,    9.00,    6.03,    8.63,    5.43,    8.09,    5.71,    8.42,    5.23,    8.09,   34.72,   50.95,     18740,   85.67,    122.41,    113.99,    236.40
2026-06-02,06:53:49.677,   53.07,   30.94,   52.59,   30.84,   53.36,   31.26,   52.31,   30.43,   52.21,   30.23,   51.58,   30.68,  315.11,  184.38,     18840,  499.49,   17.97,   17.51,   18.50,   17.71,   18.55,   17.66,   16.58,   16.39,   16.53,   16.69,   16.48,   16.14,  104.61,  102.09,     18760,  206.70,    419.72,    286.47,    706.20
2026-06-02,06:53:49.727,  211.65,   69.04,  211.04,   69.06,  214.37,   69.83,  203.03,   67.71,  201.57,   67.41,  201.31,   67.10, 1242.95,  410.14,     18760, 1653.10,   24.39,   19.12,   24.56,   19.43,   24.90,   19.52,   21.42,   17.59,   21.73,   18.02,   21.25,   17.38,  138.24,  111.05,     18740,  249.30,   1381.20,    521.20,   1902.39
2026-06-02,06:53:49.777,  130.26,   38.12,  130.42,   38.02,  130.98,   38.59,  124.98,   37.26,  124.31,   36.63,  124.87,   36.50,  765.81,  225.12,     18780,  990.93,   14.31,   10.02,   14.66,   10.58,   14.81,   10.41,   13.58,    9.37,   13.41,    9.58,   13.13,    9.07,   83.90,   59.03,     18720,  142.94,    849.71,    284.15,   1133.86
2026-06-02,06:53:49.829,   38.34,   18.20,   38.65,   18.18,   38.89,   18.59,   37.49,   17.79,   36.96,   17.68,   36.86,   17.28,  227.19,  107.71,     18740,  334.90,    7.76,    9.63,    8.01,    9.93,    7.68,    9.76,    6.22,    9.06,    6.72,    9.21,    6.29,    9.04,   42.66,   56.62,     18740,   99.29,    269.85,    164.34,    434.19
2026-06-02,06:53:49.877,   20.38,   15.56,   20.42,   15.85,   20.85,   15.87,   19.88,   15.65,   19.99,   15.57,   19.49,   15.37,  121.01,   93.86,     18540,  214.88,   11.43,   17.31,   11.76,   17.74,   11.65,   17.74,    9.70,   16.46,   10.10,   16.63,    9.79,   16.34,   64.43,  102.22,     18500,  166.65,    185.45,    196.09,    381.53
2026-06-02,06:53:49.927,    9.24,    7.74,    9.63,    7.92,    9.87,    7.98,    9.11,    7.58,    9.23,    7.72,    9.09,    7.69,   56.18,   46.63,     18760,  102.81,    7.29,   13.02,    7.56,   13.30,    7.26,   12.98,    6.09,   12.24,    6.07,   12.19,    5.74,   12.02,   40.01,   75.76,     18720,  115.77,     96.18,    122.39,    218.57
2026-06-02,06:53:49.980,   68.02,   24.57,   68.61,   24.33,   68.36,   24.62,   63.79,   23.18,   63.92,   22.96,   64.09,   23.13,  396.80,  142.79,     18860,  539.59,   30.16,   32.69,   30.50,   32.97,   30.69,   32.80,   28.04,   31.22,   28.12,   31.46,   27.68,   30.98,  175.19,  192.12,     18780,  367.31,    572.00,    334.91,    906.91
2026-06-02,06:53:50.028,   57.70,   44.48,   57.96,   44.65,   60.11,   46.25,   55.71,   43.76,   55.66,   44.15,   55.35,   44.01,  342.47,  267.30,     18860,  609.78,   38.70,   46.81,   39.30,   47.32,   39.53,   47.07,   35.91,   45.99,   36.38,   46.44,   35.79,   46.14,  225.60,  279.77,     18920,  505.37,    568.08,    547.07,   1115.15
2026-06-02,06:53:50.077,   50.05,   39.03,   49.09,   38.73,   50.12,   39.53,   45.50,   37.50,   46.18,   37.95,   45.63,   37.73,  286.56,  230.46,     18580,  517.03,   36.07,   57.36,   35.83,   57.58,   36.04,   57.64,   30.75,   56.06,   30.93,   56.07,   30.27,   55.90,  199.89,  340.62,     18420,  540.51,    486.45,    571.09,   1057.54
2026-06-02,06:53:50.127,   44.67,   44.89,   44.60,   44.81,   44.77,   45.16,   41.30,   43.89,   41.05,   43.98,   41.34,   44.28,  257.73,  267.00,     18740,  524.73,   21.17,   59.86,   21.54,   59.97,   21.22,   59.89,   15.46,   58.30,   16.16,   58.83,   15.51,   57.80,  111.07,  354.65,     18740,  465.71,    368.79,    621.65,    990.44
2026-06-02,06:53:50.178,   53.81,   50.28,   53.39,   50.49,   54.78,   51.38,   50.01,   50.04,   50.44,   50.45,   49.70,   49.59,  312.13,  302.23,     18840,  614.36,   29.22,   54.75,   29.43,   54.77,   30.24,   55.00,   27.25,   54.61,   27.09,   55.09,   26.59,   54.64,  169.84,  328.86,     18740,  498.70,    481.96,    631.09,   1113.05
2026-06-02,06:53:50.228,   24.37,   34.58,   24.64,   34.17,   24.89,   34.80,   21.81,   33.72,   21.84,   33.82,   22.10,   33.53,  139.65,  204.61,     18720,  344.26,   12.19,   21.33,   12.40,   21.62,   12.06,   21.52,   10.87,   20.76,   10.56,   20.56,   10.54,   20.30,   68.63,  126.09,     18680,  194.72,    208.27,    330.71,    538.98
2026-06-02,06:53:50.278,   90.88,   56.06,   91.41,   56.51,   91.80,   56.89,   86.39,   55.41,   85.91,   55.32,   86.43,   54.91,  532.83,  335.10,     18680,  867.93,   16.92,   22.98,   17.13,   23.52,   17.05,   23.44,   15.51,   22.50,   15.75,   22.68,   15.49,   22.26,   97.85,  137.39,     18760,  235.24,    630.69,    472.49,   1103.17
2026-06-02,06:53:50.328,   72.13,   39.68,   72.26,   39.63,   72.37,   39.42,   70.18,   39.38,   69.72,   39.21,   70.25,   39.64,  426.90,  236.95,     18760,  663.85,   11.56,   13.99,   11.80,   14.00,   11.90,   14.03,   10.35,   13.13,   10.53,   13.03,    9.97,   13.00,   66.11,   81.18,     18680,  147.29,    493.01,    318.13,    811.14
2026-06-02,06:53:50.377,   46.46,   42.58,   47.20,   42.83,   47.23,   43.00,   43.79,   41.34,   44.54,   42.45,   43.71,   40.93,  272.93,  253.13,     18620,  526.06,   17.41,   29.27,   17.22,   29.24,   16.87,   28.95,   15.67,   28.59,   15.42,   28.07,   15.73,   28.41,   98.32,  172.55,     18620,  270.87,    371.25,    425.68,    796.93
2026-06-02,06:53:50.428,   40.05,   36.13,   39.64,   36.27,   40.20,   36.44,   36.93,   36.22,   36.99,   36.25,   36.50,   36.07,  230.32,  217.39,     18860,  447.71,   11.52,   11.04,   11.32,   10.98,   11.41,   10.74,   10.74,   10.19,   10.83,   10.30,   10.84,   10.46,   66.66,   63.72,     18800,  130.38,    296.98,    281.11,    578.09
2026-06-02,06:53:50.478,  269.28,   95.41,  272.47,   96.38,  269.90,   96.12,  263.91,   94.95,  262.21,   94.37,  264.36,   94.46, 1602.11,  571.70,     18740, 2173.81,   24.90,   29.27,   25.21,   29.47,   24.73,   29.11,   22.58,   27.45,   22.54,   27.98,   22.85,   27.63,  142.82,  170.91,     18700,  313.73,   1744.93,    742.60,   2487.54
2026-06-02,06:53:50.528,  113.10,  114.43,  112.66,  113.48,  112.73,  114.49,  105.06,  112.49,  105.38,  113.00,  105.50,  112.33,  654.44,  680.22,     18860, 1334.65,   17.03,   21.36,   17.19,   21.31,   17.36,   21.61,   14.60,   20.25,   15.19,   20.59,   14.75,   19.75,   96.11,  124.87,     18780,  220.98,    750.55,    805.09,   1555.64
2026-06-02,06:53:50.578,  156.80,   79.25,  156.30,   78.81,  155.80,   78.64,  153.57,   77.87,  154.02,   78.70,  154.02,   78.01,  930.51,  471.27,     18540, 1401.78,   56.94,   67.96,   56.47,   67.66,   56.12,   67.49,   52.62,   66.19,   53.63,   66.87,   52.53,   66.33,  328.31,  402.51,     18600,  730.83,   1258.82,    873.79,   2132.61
2026-06-02,06:53:50.629,  270.64,  191.65,  272.09,  192.27,  271.38,  192.23,  251.97,  187.43,  251.39,  187.27,  253.48,  187.49, 1570.93, 1138.35,     19040, 2709.29,   31.26,   22.53,   30.88,   22.19,   31.13,   22.61,   29.43,   21.41,   29.51,   21.83,   29.56,   21.23,  181.78,  131.78,     19080,  313.56,   1752.71,   1270.13,   3022.85
2026-06-02,06:53:50.679,  213.09,  159.35,  212.30,  158.64,  213.36,  158.80,  201.48,  157.27,  201.61,  157.77,  200.45,  157.32, 1242.29,  949.16,     18760, 2191.44,   65.95,   67.96,   66.52,   67.58,   66.20,   68.14,   62.60,   66.24,   63.54,   67.40,   62.41,   66.35,  387.21,  403.67,     18720,  790.88,   1629.49,   1352.83,   2982.32
2026-06-02,06:53:50.730,  284.78,  117.02,  284.29,  116.16,  286.86,  117.35,  275.04,  114.92,  273.57,  114.41,  272.74,  114.31, 1677.28,  694.16,     18760, 2371.44,   43.22,   38.47,   43.07,   38.64,   43.30,   38.62,   39.66,   37.13,   40.20,   37.88,   39.76,   37.27,  249.20,  228.01,     18740,  477.22,   1926.49,    922.17,   2848.66
2026-06-02,06:53:50.780,  284.38,  136.97,  283.70,  135.67,  285.87,  136.72,  275.38,  135.62,  273.61,  135.57,  272.44,  135.02, 1675.38,  815.56,     18680, 2490.94,   27.54,   18.12,   27.98,   18.37,   27.45,   18.06,   26.97,   17.41,   26.69,   17.67,   26.70,   17.16,  163.34,  106.79,     18680,  270.14,   1838.72,    922.35,   2761.07
2026-06-02,06:53:50.830,  384.71,  126.71,  381.87,  124.53,  386.42,  127.07,  372.35,  124.11,  371.99,  124.35,  369.70,  123.06, 2267.05,  749.83,     18760, 3016.88,   37.77,   33.52,   37.75,   33.19,   37.84,   33.44,   34.22,   31.68,   34.54,   32.51,   34.23,   31.76,  216.36,  196.09,     18700,  412.45,   2483.41,    945.92,   3429.32
2026-06-02,06:53:50.880,  188.79,   88.15,  188.04,   87.92,  189.65,   88.98,  182.98,   86.37,  181.99,   85.65,  181.90,   85.22, 1113.36,  522.29,     18680, 1635.65,   20.70,   24.47,   20.67,   24.14,   21.26,   24.50,   18.53,   23.00,   18.78,   23.95,   18.54,   23.02,  118.48,  143.08,     18680,  261.56,   1231.84,    665.37,   1897.21
2026-06-02,06:53:50.930,  135.18,   82.51,  134.98,   82.16,  135.11,   82.43,  131.24,   81.93,  130.69,   82.20,  131.12,   81.80,  798.33,  493.03,     18700, 1291.37,   14.74,   27.05,   14.92,   27.05,   14.68,   27.07,   13.67,   26.58,   13.67,   26.68,   13.41,   26.34,   85.08,  160.76,     18720,  245.85,    883.42,    653.80,   1537.21
2026-06-02,06:53:50.980,   62.40,   59.65,   62.32,   58.96,   62.59,   59.39,   59.44,   59.71,   59.90,   60.13,   59.66,   60.28,  366.31,  358.12,     18740,  724.43,   11.60,   12.47,   11.54,   12.22,   11.53,   12.37,   10.28,   11.32,   10.65,   11.74,   10.25,   11.02,   65.86,   71.14,     18720,  137.00,    432.17,    429.26,    861.42
2026-06-02,06:53:51.030,  118.41,   69.41,  119.30,   69.23,  119.16,   69.74,  110.09,   67.52,  110.19,   68.07,  110.24,   67.43,  687.39,  411.40,     18740, 1098.79,   15.74,   25.92,   15.88,   26.07,   15.89,   26.65,   13.68,   25.12,   13.91,   25.36,   13.45,   24.78,   88.54,  153.91,     18720,  242.45,    775.93,    565.31,   1341.24
2026-06-02,06:53:51.080,  141.86,   74.10,  141.90,   74.06,  142.65,   74.68,  135.98,   73.97,  135.46,   73.51,  135.42,   73.38,  833.27,  443.69,     18680, 1276.97,   18.38,   18.87,   18.17,   19.08,   18.54,   19.24,   16.57,   18.00,   17.08,   18.58,   16.62,   17.73,  105.36,  111.51,     18680,  216.87,    938.63,    555.20,   1493.83
2026-06-02,06:53:51.130,   74.00,   49.36,   75.16,   49.86,   74.58,   49.46,   72.33,   49.99,   70.65,   48.48,   71.30,   49.14,  438.02,  296.29,     18720,  734.31,   20.14,   29.54,   20.06,   29.44,   20.04,   29.45,   18.75,   28.48,   19.17,   28.60,   18.44,   28.13,  116.61,  173.64,     18720,  290.25,    554.63,    469.93,   1024.56
2026-06-02,06:53:51.180,  223.03,  109.60,  224.41,  110.32,  224.13,  110.33,  216.45,  108.86,  217.12,  108.44,  218.86,  108.73, 1324.01,  656.28,     18700, 1980.28,   15.98,   18.18,   16.13,   18.11,   15.90,   18.18,   14.10,   17.15,   14.56,   17.30,   13.61,   16.31,   90.28,  105.22,     18680,  195.50,   1414.28,    761.50,   2175.79
2026-06-02,06:53:51.231,  305.48,   76.57,  307.09,   76.24,  306.21,   77.02,  299.40,   75.56,  298.35,   74.98,  298.13,   75.45, 1814.67,  455.81,     18780, 2270.48,   22.38,   32.84,   22.61,   32.99,   22.38,   32.94,   20.53,   31.65,   20.64,   32.07,   20.30,   31.12,  128.83,  193.61,     18720,  322.45,   1943.50,    649.43,   2592.93
2026-06-02,06:53:51.281,   45.06,   43.21,   45.18,   43.09,   45.03,   43.42,   43.64,   42.91,   43.10,   42.83,   43.30,   42.51,  265.32,  257.98,     18800,  523.30,   15.65,   16.59,   15.77,   16.60,   16.08,   16.53,   14.98,   15.96,   15.30,   16.26,   14.63,   15.44,   92.40,   97.40,     18800,  189.80,    357.72,    355.38,    713.10
2026-06-02,06:53:51.331,   70.59,   35.58,   70.37,   35.52,   70.38,   35.94,   66.23,   34.50,   66.69,   34.66,   67.03,   34.31,  411.29,  210.50,     18700,  621.79,   12.72,   20.71,   12.77,   20.66,   12.79,   20.68,   10.97,   19.59,   11.31,   19.77,   10.77,   19.19,   71.32,  120.60,     18680,  191.93,    482.62,    331.10,    813.72
2026-06-02,06:53:51.381,  132.48,   64.29,  132.94,   64.03,  132.91,   64.60,  127.97,   64.18,  126.49,   63.75,  127.26,   63.83,  780.05,  384.68,     18660, 1164.73,   16.30,   19.74,   16.44,   19.94,   16.49,   20.01,   14.36,   18.92,   14.62,   18.75,   14.21,   18.25,   92.41,  115.61,     18680,  208.02,    872.46,    500.28,   1372.75
2026-06-02,06:53:51.431,   69.65,   43.97,   69.64,   43.93,   70.17,   43.81,   66.02,   42.71,   65.58,   42.68,   65.45,   42.90,  406.50,  260.00,     18720,  666.50,   11.07,   22.73,   11.03,   22.60,   10.92,   23.02,    9.88,   21.75,   10.31,   22.01,    9.56,   21.43,   62.76,  133.53,     18720,  196.29,    469.26,    393.53,    862.79
2026-06-02,06:53:51.481,   69.34,   53.04,   68.24,   52.66,   68.84,   53.06,   64.22,   52.04,   63.92,   51.60,   64.16,   51.98,  398.72,  314.37,     18680,  713.09,   15.23,   13.99,   15.25,   13.72,   15.34,   14.05,   13.76,   12.93,   14.18,   13.31,   13.70,   12.67,   87.45,   80.67,     18680,  168.12,    486.17,    395.04,    881.21
2026-06-02,06:53:51.531,  122.96,   60.19,  123.63,   60.48,  123.26,   61.23,  120.39,   60.24,  119.02,   60.27,  119.95,   60.14,  729.20,  362.54,     18720, 1091.74,   12.28,   23.32,   12.18,   23.12,   12.10,   23.42,   10.27,   21.98,   10.76,   22.28,   10.18,   21.74,   67.77,  135.86,     18700,  203.63,    796.97,    498.40,   1295.37
2026-06-02,06:53:51.581,   90.06,   54.76,   90.04,   54.70,   90.96,   55.61,   86.44,   54.10,   87.51,   54.31,   87.16,   54.11,  532.18,  327.58,     18700,  859.76,   28.52,   30.47,   28.57,   30.40,   28.57,   30.75,   26.24,   29.35,   26.26,   29.62,   25.62,   29.19,  163.79,  179.79,     18720,  343.58,    695.96,    507.37,   1203.33
2026-06-02,06:53:51.632,   84.20,   77.48,   84.05,   77.32,   84.79,   77.63,   80.98,   76.83,   81.70,   76.83,   81.11,   76.57,  496.82,  462.65,     18740,  959.47,   18.17,   31.12,   17.91,   31.18,   18.23,   31.43,   16.39,   30.12,   16.77,   30.51,   16.35,   30.10,  103.82,  184.45,     18680,  288.27,    600.64,    647.10,   1247.74
2026-06-02,06:53:51.682,  142.56,  103.54,  141.90,  102.90,  142.75,  103.85,  134.85,  102.52,  134.07,  102.55,  134.54,  102.23,  830.66,  617.59,     18720, 1448.25,   18.77,   18.80,   18.86,   18.79,   18.97,   18.95,   16.56,   17.92,   16.57,   17.78,   16.34,   17.53,  106.07,  109.79,     18720,  215.86,    936.73,    727.38,   1664.11
2026-06-02,06:53:51.732,   81.95,   57.38,   83.00,   57.48,   82.48,   57.88,   77.90,   57.00,   77.82,   57.59,   78.39,   57.66,  481.54,  344.99,     18660,  826.54,   11.18,   14.14,   11.00,   13.84,   11.38,   14.45,    9.69,   13.11,   10.10,   13.45,    9.44,   12.79,   62.79,   81.78,     18680,  144.57,    544.34,    426.77,    971.11
2026-06-02,06:53:51.782,  106.64,   44.89,  106.88,   44.87,  107.42,   45.21,  100.87,   43.51,   99.76,   42.50,   99.95,   42.36,  621.52,  263.35,     18700,  884.87,   17.39,   15.50,   16.98,   15.62,   17.32,   15.77,   15.73,   15.01,   16.41,   15.91,   15.37,   15.23,   99.20,   93.04,     18680,  192.24,    720.72,    356.39,   1077.10
2026-06-02,06:53:51.832,   96.49,   51.14,   97.36,   51.40,   96.76,   51.37,   92.90,   50.45,   92.55,   50.66,   93.91,   50.89,  569.97,  305.90,     18700,  875.87,   10.24,   13.37,   10.21,   13.34,   10.23,   13.14,    8.58,   11.69,    8.92,   11.70,    8.15,   11.02,   56.33,   74.27,     18680,  130.60,    626.30,    380.17,   1006.47
2026-06-02,06:53:51.882,  550.17,  122.65,  552.78,  123.56,  551.06,  122.80,  546.49,  121.61,  545.25,  121.03,  548.05,  122.33, 3293.81,  733.97,     18760, 4027.78,   16.91,   18.34,   17.52,   18.93,   17.46,   18.84,   15.36,   17.70,   15.53,   17.93,   15.10,   17.48,   97.89,  109.20,     18720,  207.09,   3391.70,    843.18,   4234.87
2026-06-02,06:53:51.932,  127.79,   39.86,  129.08,   40.11,  128.53,   40.27,  125.55,   39.37,  125.32,   39.80,  126.86,   39.49,  763.14,  238.90,     18820, 1002.04,   15.85,   19.29,   15.58,   19.17,   15.74,   19.43,   14.49,   18.52,   14.36,   18.51,   14.14,   18.05,   90.17,  112.97,     18720,  203.14,    853.31,    351.87,   1205.18
2026-06-02,06:53:51.982,  128.79,   68.68,  129.88,   68.97,  129.61,   68.92,  119.44,   66.73,  119.47,   66.56,  119.11,   66.62,  746.30,  406.49,     18720, 1152.79,   12.48,   12.67,   12.51,   12.71,   12.58,   12.97,   11.57,   12.14,   11.83,   12.24,   11.17,   11.70,   72.14,   74.43,     18800,  146.58,    818.44,    480.92,   1299.36
2026-06-02,06:53:52.032,  169.86,   80.49,  170.93,   80.70,  169.01,   80.65,  162.96,   79.16,  161.83,   78.70,  163.80,   79.01,  998.39,  478.71,     18780, 1477.10,   17.41,   18.91,   16.92,   18.63,   17.23,   18.80,   15.30,   17.74,   15.99,   18.62,   15.25,   17.60,   98.10,  110.32,     18680,  208.42,   1096.49,    589.03,   1685.52
2026-06-02,06:53:52.083,   98.48,   52.45,   99.83,   52.49,   98.66,   52.83,   94.98,   52.22,   93.98,   52.20,   94.56,   51.81,  580.50,  313.99,     18700,  894.49,   18.21,   24.53,   18.47,   24.55,   18.20,   24.74,   16.10,   23.77,   16.30,   23.49,   16.02,   23.26,  103.30,  144.35,     18720,  247.65,    683.79,    458.34,   1142.14
2026-06-02,06:53:52.133,   90.01,   50.33,   90.21,   50.66,   91.16,   50.78,   86.29,   50.04,   86.15,   50.00,   85.55,   50.01,  529.37,  301.82,     18740,  831.18,   10.69,   13.08,   10.78,   13.45,   10.81,   13.79,    9.93,   12.83,   10.03,   13.18,    9.50,   12.50,   61.74,   78.82,     18700,  140.56,    591.11,    380.64,    971.74
2026-06-02,06:53:52.183,  133.94,   63.87,  135.22,   64.06,  134.88,   64.29,  129.79,   63.40,  129.19,   62.50,  130.29,   62.69,  793.30,  380.81,     18720, 1174.11,   14.23,   14.90,   13.80,   15.13,   14.29,   14.85,   12.14,   13.70,   12.64,   14.03,   11.92,   13.46,   79.03,   86.06,     18720,  165.09,    872.33,    466.87,   1339.20
2026-06-02,06:53:52.233,   57.19,   57.52,   57.50,   57.77,   57.99,   57.97,   54.85,   56.74,   54.13,   56.17,   54.87,   57.04,  336.52,  343.21,     18680,  679.74,   13.70,   18.97,   13.31,   18.91,   13.64,   19.22,   11.38,   17.70,   11.80,   18.09,   11.41,   17.78,   75.24,  110.67,     18680,  185.91,    411.76,    453.88,    865.65
2026-06-02,06:53:52.283,   97.76,   67.41,   98.34,   67.27,   97.92,   67.56,   90.61,   65.42,   90.49,   65.71,   90.86,   65.69,  565.98,  399.06,     18700,  965.04,   13.43,   19.38,   13.36,   19.36,   13.67,   19.75,   11.83,   18.72,   12.03,   19.00,   11.91,   18.23,   76.23,  114.44,     18760,  190.67,    642.21,    513.50,   1155.71
2026-06-02,06:53:52.333,  125.59,   68.89,  126.55,   69.00,  126.35,   69.40,  120.10,   68.40,  118.90,   68.29,  119.38,   67.84,  736.87,  411.83,     18780, 1148.70,   16.86,   16.43,   16.73,   16.52,   16.97,   16.75,   15.11,   15.14,   15.38,   15.60,   14.84,   15.06,   95.90,   95.50,     18800,  191.39,    832.76,    507.33,   1340.09
2026-06-02,06:53:52.384,  117.18,   66.89,  117.75,   66.70,  117.92,   67.02,  110.65,   65.76,  110.24,   65.36,  110.48,   65.98,  684.22,  397.72,     18720, 1081.94,   15.27,   19.30,   14.92,   19.17,   15.39,   19.67,   12.70,   17.52,   12.82,   17.96,   12.60,   17.47,   83.70,  111.08,     18760,  194.79,    767.92,    508.81,   1276.73
2026-06-02,06:53:52.434,  500.55,  149.47,  504.38,  150.28,  502.54,  150.70,  499.43,  148.90,  499.48,  148.75,  502.69,  149.12, 3009.07,  897.22,     18960, 3906.28,   14.70,   21.40,   14.57,   21.36,   15.19,   21.96,   12.83,   20.32,   12.94,   20.50,   12.28,   19.93,   82.51,  125.47,     18760,  207.98,   3091.57,   1022.69,   4114.26
